recording_id,scientific_name,status,issue_count,issue_no_species,issue_no_english_name,issue_no_audio_file,issue_no_duration,issue_no_date,issue_no_time,issue_no_country,issue_no_latitude,issue_no_longitude,issue_no_coordinates,issue_no_quality,issue_scrape_failed
XC190912,Riparia riparia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190933,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190934,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190935,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190938,Setophaga virens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190939,Setophaga virens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190940,Setophaga virens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190956,Setophaga striata,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190957,Setophaga striata,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190958,Setophaga striata,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190959,Setophaga striata,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC190960,Setophaga striata,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191024,,success,8,True,False,False,True,False,True,True,True,True,True,True,False
XC191025,,success,8,True,False,False,True,False,True,True,True,True,True,True,False
XC191378,Strix varia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191379,Strix varia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191488,Spatula discors,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191543,,success,8,True,False,False,True,False,True,True,True,True,True,True,False
XC191550,Passerina caerulea,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191952,Corvus brachyrhynchos,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191954,Corvus brachyrhynchos,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191961,Haliaeetus leucocephalus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191962,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191963,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191980,Spinus tristis,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC191982,Molothrus ater,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192011,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192013,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192016,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192018,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192051,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192052,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192053,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192054,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192055,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192056,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192057,Sayornis nigricans,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192059,Polioptila caerulea,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192060,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192061,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192078,Spinus tristis,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192082,Toxostoma rufum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192083,Molothrus ater,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192099,Spinus tristis,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192236,Haliaeetus leucocephalus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192248,Haliaeetus leucocephalus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192487,Buteo platypterus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192488,Buteo platypterus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC192492,Buteo platypterus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193110,Molothrus ater,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193111,Corvus brachyrhynchos,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193112,Corvus brachyrhynchos,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193116,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193127,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193128,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193130,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193134,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193411,Vireo solitarius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193606,Riparia riparia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193659,Chroicocephalus philadelphia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193660,Chroicocephalus philadelphia,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC193769,Setophaga ruticilla,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC194079,Turdus migratorius,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC194087,Empidonax alnorum,success,3,False,False,False,True,False,False,True,False,False,False,True,False
